Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
"Lamb, chop, broiled",4 oz.,1.0,4.173913043478261,0.20869565217391303,0.30434782608695654,0.28695652173913044,0.0,0.0,"Meat, Poultry"
Leg roasted,3 oz.,1.0,3.6511627906976742,0.23255813953488372,0.16279069767441862,0.16279069767441862,0.0,0.0,"Meat, Poultry"
"Shoulder, braised",3 oz.,1.0,3.3529411764705883,0.21176470588235294,0.27058823529411763,0.24705882352941178,0.0,0.0,"Meat, Poultry"
"Pork, chop, 1 thick",3 1/2 oz.,1.0,2.6,0.16,0.21,0.18,0.0,0.0,"Meat, Poultry"
Ham pan-broiled,3 oz.,1.0,3.411764705882353,0.18823529411764706,0.25882352941176473,0.2235294117647059,0.0,0.0,"Meat, Poultry"
"Ham, as ",2 oz.,1.0,2.982456140350877,0.22807017543859648,0.22807017543859648,0.19298245614035087,0.0,0.0,"Meat, Poultry"
"Ham, canned, spiced",2 oz.,1.0,2.8947368421052633,0.14035087719298245,0.24561403508771928,0.21052631578947367,0.0,0.017543859649122806,"Meat, Poultry"
Pork roast,3 oz.,1.0,3.6470588235294117,0.24705882352941178,0.2823529411764706,0.24705882352941178,0.0,0.0,"Meat, Poultry"
Pork sausage,3 1/2 oz.,1.0,4.75,0.18,0.44,0.4,0.0,0.0,"Meat, Poultry"
Turkey,3 1/2 oz.,1.0,2.65,0.27,0.15,0.0,0.0,0.0,"Meat, Poultry"
Veal,3 oz.,1.0,2.176470588235294,0.27058823529411763,0.10588235294117647,0.09411764705882353,0.0,0.0,"Meat, Poultry"
Roast,3 oz.,1.0,3.588235294117647,0.15294117647058825,0.16470588235294117,0.15294117647058825,0.0,0.0,"Meat, Poultry"
Clams,3 oz.,1.0,1.0235294117647058,0.1411764705882353,0.011764705882352941,0.0,0.0,0.023529411764705882,"Fish, Seafood"
Cod,3 1/2 oz.,1.0,1.7,0.28,0.05,0.0,0.0,0.0,"Fish, Seafood"
Crab meat,3 oz.,1.0,1.0588235294117647,0.16470588235294117,0.023529411764705882,0.0,0.0,0.011764705882352941,"Fish, Seafood"
Fish sticks fried,5,1.0,1.7857142857142858,0.16964285714285715,0.08928571428571429,0.044642857142857144,0.0,0.07142857142857142,"Fish, Seafood"
Flounder,3 1/2 oz.,1.0,2.0,0.3,0.08,0.0,0.0,0.0,"Fish, Seafood"
Haddock,3 oz.,1.0,1.588235294117647,0.18823529411764706,0.058823529411764705,0.047058823529411764,0.0,0.07058823529411765,"Fish, Seafood"
Halibut,3 1/2 oz.,1.0,1.82,0.26,0.08,0.0,0.0,0.0,"Fish, Seafood"
Herring,1 small,1.0,2.11,0.22,0.13,0.0,0.0,0.0,"Fish, Seafood"
Lobster,aver.,1.0,0.92,0.18,0.01,0.0,0.0,0.0,"Fish, Seafood"
Mackerel,3 oz.,1.0,1.8235294117647058,0.21176470588235294,0.10588235294117647,0.0,0.0023529411764705885,0.0,"Fish, Seafood"
Oysters,6-8 med.,1.0,1.0043478260869565,1.008695652173913,1.0130434782608695,1.017391304347826,1.0217391304347827,1.0260869565217392,"Fish, Seafood"
Oyster stew,1 cup,1.0,1.4705882352941178,0.2235294117647059,0.07058823529411765,0.011764705882352941,0.0,0.0,"Fish, Seafood"
Salmon,3 oz.,1.0,1.411764705882353,0.2,0.058823529411764705,0.011764705882352941,0.0,0.0,"Fish, Seafood"
Sardines,3 oz.,1.0,2.1176470588235294,0.25882352941176473,0.10588235294117647,0.047058823529411764,0.0,0.0,"Fish, Seafood"
Scallops,3 1/2 oz.,1.0,1.04,0.18,0.08,0.0,0.0,0.1,"Fish, Seafood"
Shad,3 oz.,1.0,2.0,0.23529411764705882,0.11764705882352941,0.0,0.0,0.0,"Fish, Seafood"
Shrimp,3 oz.,1.0,1.2941176470588236,0.27058823529411763,0.011764705882352941,0.0,0.0,0.0,"Fish, Seafood"
Swordfish,1 steak,1.0,1.8,0.27,0.06,0.0,0.0,0.0,"Fish, Seafood"
Tuna,3 oz.,1.0,2.0,0.29411764705882354,0.08235294117647059,0.03529411764705882,0.0,0.0,"Fish, Seafood"
Artichoke,1 large,1.0,1.32,0.02,0.0,0.0,0.02,0.1,Vegetables A-E
Asparagus,6 spears,1.0,0.1875,0.010416666666666666,0.0,0.0,0.005208333333333333,0.03125,Vegetables A-E
Beans,1 cup,1.0,0.2,0.008,0.0,0.0,0.0064,0.048,Vegetables A-E
Lima,1 cup,1.0,0.875,0.05,0.0,0.0,0.01875,0.15,Vegetables A-E
"Lima, dry, cooked",1 cup,1.0,1.3541666666666667,0.08333333333333333,0.0,0.0,0.010416666666666666,0.25,Vegetables A-E
"Navy, baked with pork",3/4 cup,1.0,1.25,0.055,0.03,0.03,0.01,0.185,Vegetables A-E
Red kidney,1 cup,1.0,0.8846153846153846,0.057692307692307696,0.0038461538461538464,0.0,0.009615384615384616,0.16153846153846155,Vegetables A-E
Bean sprouts,1 cup,1.0,0.34,0.02,0.0,0.0,0.006,0.06,Vegetables A-E
Beet greens,1 cup,1.0,0.27,0.02,0.0,0.0,0.013999999999999999,0.06,Vegetables A-E
Beetroots,1 cup,1.0,0.006060606060606061,0.07272727272727272,0.0,0.0,0.0,0.0048484848484848485,Vegetables A-E
Broccoli,1 cup,1.0,0.3,0.03333333333333333,0.0,0.0,0.012666666666666666,0.05333333333333334,Vegetables A-E
Brussels sprouts,1 cup,1.0,0.46153846153846156,0.046153846153846156,0.0,0.0,0.013076923076923076,0.09230769230769231,Vegetables A-E
Sauerkraut,1 cup,1.0,0.21333333333333335,0.006666666666666667,0.0,0.0,0.008,0.04666666666666667,Vegetables A-E
Steamed cabbage,1 cup,1.0,0.23529411764705882,0.011764705882352941,0.0,0.0,0.007647058823529412,0.052941176470588235,Vegetables A-E
Carrots,1 cup,1.0,0.3,0.006666666666666667,0.0,0.0,0.006,0.06666666666666667,Vegetables A-E
"Raw, grated",1 cup,1.0,0.4090909090909091,0.00909090909090909,0.0,0.0,0.010909090909090908,0.09090909090909091,Vegetables A-E
"Strips, from raw",1 mad.,1.0,0.4,0.0,0.0,0.0,0.01,0.1,Vegetables A-E
Cauliflower,1 cup,1.0,0.25,0.025,0.0,0.0,0.008333333333333333,0.05,Vegetables A-E
Celery,1 cup,1.0,0.2,0.01,0.0,0.0,0.01,0.04,Vegetables A-E
Stalk raw,1 large,1.0,0.125,0.025,0.0,0.0,0.0075,0.025,Vegetables A-E
Chard steamed,1 cup,1.0,0.2,0.013333333333333334,0.0,0.0,0.009333333333333332,0.04666666666666667,Vegetables A-E
Collards,1 cup,1.0,0.34,0.03333333333333333,0.0,0.0,0.013333333333333334,0.05333333333333334,Vegetables A-E
Corn,1 ear,1.0,0.92,0.03,0.01,0.0,0.008,0.21,Vegetables A-E
cooked or canned,1 cup,1.0,0.85,0.025,0.0,0.0,0.008,0.205,Vegetables A-E
